"ID","Player","Team","Position","Prim Pos","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","W","GAA","SV%","SHO"
"*04yla*","Brandon Bussi","CAR","G","G","19","Wags8210","27","1,000,000","FA","72.54","72%","-2%","36","29","2.46",".895","2"
"*031pl*","Juuse Saros","NSH","G","G","20","nbracken","30","1,600,000","BID","71.81","85%","-2%","56","28","3.14",".894","0"
"*03mbn*","Mackenzie Blackwood","COL","G","G","21","mertin","29","6,600,000","BID","71.77","95%","-1%","35","21","2.57",".899","3"
"*03yxp*","Stuart Skinner","PIT","G","G","22","btsay45","27","3,300,000","BID","70.68","79%","-1%","47","22","2.91",".888","2"
"*03jw0*","Joey Daccord","SEA","G","G","23","TommyG10","29","1,500,000","BID","70.53","78%","-2%","44","19","3.00",".899","2"
"*02oar*","Linus Ullmark","OTT","G","G","24","nbracken","32","8,100,000","BID","70.1","80%","-1%","46","24","2.82",".887","2"
"*04qyv*","Lukas Dostal","ANA","G","G","25","Lsleeves","25","4,200,000","BID","69.63","89%","-1%","52","29","3.09",".890","0"
"*03rfo*","Daniel Vladar","PHI","G","G","26","SPG","28","1,000,000","BID","68.51","62%","+1%","48","26","2.43",".906","0"
"*042w1*","Joseph Woll","TOR","G","G","27","sweinste","27","1,300,000","BID","68.13","61%","-3%","37","15","3.32",".902","2"
"*05oxs*","Jakub Dobes","MTL","G","G","28","HeatDady","24","1,000,000","FA","67.29","68%","+1%","39","27","2.73",".904","0"
"*02o7s*","Connor Hellebuyck","WPG","G","G","29","Lsleeves","32","13,300,000","BID","66.12","95%","-1%","53","21","2.77",".898","0"
"*051v4*","Arturs Silovs","PIT","G","G","30","BHHC","25","0","MNR","65.74","48%","-1%","37","19","2.99",".891","2"
"*0457i*","Ukko-Pekka Luukkonen","BUF","G","G","31","Lsleeves","27","1,600,000","BID","64.29","68%","-2%","32","19","2.57",".910","1"
"*016kv*","Jake Allen","NJD","G","G","32","FA","35","1,000,000","FA","62.9","38%","-3%","35","16","2.70",".906","1"
"*04r01*","Akira Schmid","VGK","G","G","33","FA","25","1,000,000","FA","61.49","47%","-2%","34","16","2.59",".893","2"
"*02h6c*","Anton Forsberg","LAK","G","G","34","FA","33","1,000,000","FA","60.96","18%","+1%","31","12","2.74",".905","2"
"*0529k*","Yaroslav Askarov","SJS","G","G","35","Gavitron","23","0","MNR","60.7","73%","0%","44","21","3.56",".886","0"
"*02yjw*","Tristan Jarry","EDM","G","G","36","SPG","30","1,000,000","BID","59.95","50%","-1%","31","18","3.26",".885","2"
"*01d6c*","Jacob Markstrom","NJD","G","G","37","mcianfra","36","2,800,000","BID","59.16","74%","-1%","43","22","3.10",".883","0"
"*03wkz*","Connor Ingram","EDM","G","G","38","Gavitron","29","1,000,000","FA","58.52","40%","+1%","28","14","2.78",".895","2"
"*02ycf*","Casey DeSmith","DAL","G","G","39","FA","34","1,000,000","FA","58.33","35%","-5%","29","14","2.34",".910","1"
"*03ygn*","David Rittich","NYI","G","G","40","FA","33","1,000,000","FA","58.2","18%","-3%","29","14","2.78",".894","2"
"*039sy*","Alex Nedeljkovic","SJS","G","G","41","FA","30","1,000,000","FA","54.7","22%","-1%","36","15","2.91",".895","0"
"*01zs7*","Philipp Grubauer","SEA","G","G","42","BHHC","34","1,000,000","FA","54.59","26%","0%","31","13","2.59",".910","0"
"*02npn*","Joonas Korpisalo","BOS","G","G","43","FA","31","1,000,000","FA","53.82","19%","0%","29","13","3.22",".891","1"
"*03ebi*","Elvis Merzlikins","CBJ","G","G","44","Gavitron","31","1,000,000","FA","52.28","28%","-2%","30","14","3.40",".883","1"
"*04zc8*","Devin Cooley","CGY","G","G","45","Gavitron","28","1,000,000","FA","51.24","19%","-1%","29","10","2.63",".913","0"
"*02fda*","Jordan Binnington","STL","G","G","46","CHKY","32","5,900,000","BID","49.94","59%","+1%","39","12","3.29",".874","1"
"*003tj*","Jonathan Quick","NYR","G","G","47","FA","40","1,000,000","FA","47.89","12%","0%","24","6","3.09",".893","2"
"*04an1*","Daniil Tarasov","FLA","G","G","48","FA","27","1,000,000","FA","47.1","22%","+1%","29","10","3.22",".892","0"
"*01t68*","Cam Talbot","DET","G","G","49","FA","38","1,000,000","FA","46.57","28%","0%","31","12","3.09",".888","0"
"*04ai3*","Kevin Lankinen","VAN","G","G","50","FA","30","1,000,000","FA","46.41","23%","0%","44","9","3.69",".875","0"
"*01zry*","Frederik Andersen","CAR","G","G","51","FA","36","1,000,000","FA","45.72","44%","0%","33","14","3.15",".870","0"
"*060us*","Dennis Hildeby","TOR","G","G","52","mcianfra","24","1,000,000","FA","45.42","20%","0%","19","5","2.90",".912","1"
"*02ycp*","Eric Comrie","WPG","G","G","53","FA","30","1,000,000","FA","44.97","12%","-1%","22","12","2.90",".897","0"
"*05rbj*","Arvid Soderblom","CHI","G","G","54","FA","26","1,000,000","FA","44.94","9%","-5%","25","8","3.74",".882","1"
"*02np7*","Anthony Stolarz","TOR","G","G","55","sweinste","32","4,600,000","BID","44.87","59%","-2%","25","10","3.29",".892","0"
"*03xme*","Charlie Lindgren","WSH","G","G","56","FA","32","1,000,000","FA","44.68","25%","+4%","21","9","3.30",".885","1"
"*03as7*","Thatcher Demko","VAN","G","G","57","mcianfra","30","1,600,000","BID","44.31","58%","-1%","20","8","2.90",".897","1"
"*04r06*","Samuel Ersson","PHI","G","G","58","FA","26","1,000,000","FA","43.43","25%","0%","31","13","3.15",".867","0"
"*068yz*","Jacob Fowler","MTL","G","G","59","TommyG10","21","0","MNR","43.35","53%","+3%","16","8","2.57",".903","1"
"*03eb6*","Jonas Johansson","TBL","G","G","60","FA","30","1,000,000","FA","43.33","14%","-3%","24","11","3.21",".886","0"
"*04qyd*","Justus Annunen","NSH","G","G","61","FA","26","1,000,000","FA","43.17","16%","-3%","25","8","2.90",".899","0"
"*03mkm*","Adin Hill","VGK","G","G","62","BHHC","29","4,200,000","BID","43.14","72%","-2%","26","10","3.06",".868","1"
"*03rfp*","Sam Montembeault","MTL","G","G","63","Wags8210","29","4,100,000","BID","40.09","48%","-1%","25","10","3.43",".872","0"
"*03ar6*","Ville Husso","ANA","G","G","64","FA","31","1,000,000","FA","39.71","11%","0%","19","9","3.21",".887","0"
"*03eap*","Vitek Vanecek","UTA","G","G","65","FA","30","1,000,000","FA","39.05","9%","-1%","20","5","2.87",".886","1"
"*04yi4*","Pyotr Kochetkov","CAR","G","G","66","nbracken","26","2,300,000","BID","37.51","52%","0%","9","6","2.33",".899","1"
"*0055l*","James Reimer","OTT","G","G","67","FA","38","1,000,000","FA","37.19","6%","-6%","12","6","2.42",".883","1"
"*04mjq*","Colten Ellis","BUF","G","G","68","nbracken","25","1,000,000","FA","36.42","12%","0%","14","7","3.13",".895","0"
"*05oxl*","Leevi Merilainen","OTT","G","G","69","mcianfra","23","1,000,000","FA","35.84","24%","0%","20","8","3.51",".860","0"
"*03ynu*","Carter Hart","VGK","G","G","70","FA","27","1,000,000","FA","35.14","39%","+1%","14","7","3.08",".880","0"
"*06agl*","Nikita Tolopilo","VAN","G","G","71","FA","25","1,000,000","FA","34.08","9%","0%","18","5","3.73",".880","0"
"*051w5*","Trent Miner","COL","G","G","72","FA","25","1,000,000","FA","33.79","9%","0%","4","1","2.03",".933","1"
"*01zs3*","Calvin Pickard","EDM","G","G","73","FA","33","1,000,000","FA","33.44","14%","0%","16","5","3.68",".871","0"
"*05k7t*","Drew Commesso","CHI","G","G","74","nbracken","23","0","MNR","33.2","18%","0%","3","2","2.31",".918","1"
"*061i2*","Sergei Murashov","PIT","G","G","75","BHHC","22","0","MNR","31.24","22%","0%","5","1","2.56",".897","1"
"*01zrw*","Petr Mrazek","ANA","G","G","76","FA","34","1,000,000","FA","29.25","7%","0%","10","3","4.07",".858","0"
"*05tpb*","Carl Lindbom","VGK","G","G","77","FA","22","1,000,000","FA","28.56","12%","0%","8","2","3.00",".873","0"
"*05lud*","Dylan Garand","NYR","G","G","78","TommyG10","23","0","MNR","28.5","12%","-2%","2","1","1.44",".954","0"
"*060fz*","Clay Stevenson","WSH","G","G","79","FA","27","1,000,000","FA","27.28","6%","0%","3","2","2.33",".904","0"
"*02nq8*","Matt Murray","SEA","G","G","80","FA","31","1,000,000","FA","27.17","3%","0%","5","0","2.21",".922","0"
"*059mt*","Nicolas Daws","NJD","G","G","81","FA","25","1,000,000","FA","26.59","12%","0%","1","1","1.00",".968","0"
"*031ok*","Spencer Martin","NYR","G","G","82","FA","30","1,000,000","FA","25.95","2%","0%","6","1","4.13",".864","0"
"*04bih*","Cayden Primeau","CAR","G","G","83","FA","26","1,000,000","FA","25.69","7%","0%","3","2","4.30",".838","0"
"*05u3g*","Thomas Milic","WPG","G","G","84","FA","22","1,000,000","FA","24.62","7%","0%","3","0","3.46",".871","0"
"*05nik*","Artur Akhtyamov","TOR","G","G","85","FA","24","1,000,000","FA","24.31","8%","0%","1","0",".00","1.000","0"
"*03bw6*","Pheonix Copley","LAK","G","G","86","FA","34","1,000,000","FA","23.99","2%","0%","1","0","3.07",".893","0"
"*04zb5*","Mads Sogaard","OTT","G","G","87","FA","25","1,000,000","FA","23.72","9%","0%","2","1","4.65",".833","0"
"*05r8v*","Alexei Kolosov","PHI","G","G","88","FA","24","1,000,000","FA","23.35","10%","0%","4","0","4.00",".830","0"
"*03y7l*","Michael DiPietro","BOS","G","G","89","FA","26","1,000,000","FA","23.03","7%","0%","1","0",".00","1.000","0"
"*04f7o*","Jiri Patera","VAN","G","G","90","FA","27","1,000,000","FA","22.39","3%","0%","1","0","7.39",".825","0"
"*04obf*","Hunter Shepard","MTL","G","G","91","FA","30","1,000,000","FA","22.07","2%","0%","1","0","3.35",".833","0"
"*02fnj*","Laurent Brossoit","SJS","G","G","92","FA","33","1,000,000","FA","21.75","3%","0%","1","0","6.09",".783","0"
"*062q9*","Vyacheslav Buteyets","ANA","G","G","93","FA","23","1,000,000","FA","21.44","2%","0%","1","0","9.00",".769","0"
"*031p1*","Marcus Hogberg","NYI","G","G","94","FA","31","1,000,000","FA","21.12","1%","0%","1","0","8.90",".714","0"
"*060ya*","Domenic DiVincentiis","WPG","G","G","95","FA","22","1,000,000","FA","20.8","4%","0%","0","0","0","0","0"
"*03eb4*","Brandon Halverson","TBL","G","G","96","FA","30","1,000,000","FA","20.8","1%","0%","1","0",".00","0","0"
"*05y9j*","Gavin Abric","(N/A)","G","G","97","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05rah*","Olivier Adam","(N/A)","G","G","98","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04ffu*","Adam Ahman","(N/A)","G","G","99","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01zs4*","Sami Aittokallio","(N/A)","G","G","100","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05ufo*","Gage Alexander","DET","G","G","101","FA","23","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*04ru3*","Jett Alexander","TOR","G","G","102","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*051tp*","Hugo Alnefelt","TBL","G","G","103","FA","24","1,000,000","FA","0","3%","0%","0","0","0","0","0"
"*03bds*","Oscar Alsenfelt","(N/A)","G","G","104","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02npu*","Daniel Altshuller","(N/A)","G","G","105","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*023p1*","Brandon Anderson","(N/A)","G","G","106","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*023ov*","J.P. Anderson","SJS","G","G","107","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05224*","Cedrick Andree","(N/A)","G","G","108","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05uw0*","Viggo Andren","(N/A)","G","G","109","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04ofx*","Viktor Andren","(N/A)","G","G","110","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06qqd*","Pyotr Andreyanov","CBJ","G","G","111","nbracken","19","0","MNR","0","18%","0%","0","0","0","0","0"
"*05xmy*","Eetu Anttila","(N/A)","G","G","112","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03kpg*","Ken Appleby","TOR","G","G","113","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*060nz*","Maxim Arefyev","(N/A)","G","G","114","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03nqj*","Jayson Argue","(N/A)","G","G","115","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03miy*","Mantas Armalis","(N/A)","G","G","116","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06r68*","Jonas Arntzen","(N/A)","G","G","117","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*065h2*","Brad Arvantis","(N/A)","G","G","118","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03wlc*","Keegan Asmundson","(N/A)","G","G","119","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05xde*","Tom Aubrun","CHI","G","G","120","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*068yu*","Trey Augustine","DET","G","G","121","sweinste","21","0","MNR","0","28%","0%","0","0","0","0","0"
"*06q1d*","Jens Auke Hoekstra","(N/A)","G","G","122","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05yji*","Danny aus den Birken","(N/A)","G","G","1113","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05rag*","Tye Austin","(N/A)","G","G","123","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06uvb*","Carl Axelsson","(N/A)","G","G","124","FA","19","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01fuk*","Richard Bachman","(N/A)","G","G","125","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06ptz*","Jake Barczewski","(N/A)","G","G","126","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04fpz*","Dereck Baribeau","MIN","G","G","127","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*065g5*","Brad Barone","(N/A)","G","G","128","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02oz4*","Patrik Bartosak","(N/A)","G","G","129","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05uef*","Owen Bartoszkiewicz","(N/A)","G","G","130","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0243u*","Konstantin Barulin","(N/A)","G","G","131","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05o6l*","Roman Basran","(N/A)","G","G","132","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*051ve*","Dominic Basse","CHI","G","G","133","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0042c*","Rejean Beauchemin","(N/A)","G","G","134","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*060xu*","Mason Beaupit","SJS","G","G","135","FA","22","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*004sm*","Chris Beckford-Tseu","(N/A)","G","G","136","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06tan*","Lucas Beckman","OTT","G","G","137","FA","18","1,000,000","FA","0","7%","0%","0","0","0","0","0"
"*05ge3*","Jan Bednar","(N/A)","G","G","138","FA","23","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*03rk1*","Ryan Bednard","LAK","G","G","139","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*031v0*","Alexandre Belanger","MIN","G","G","140","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02yeq*","Marek Benda","(N/A)","G","G","141","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03sct*","Christoffer Bengtsberg","(N/A)","G","G","142","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02j3y*","Brett Bennett","UTA","G","G","143","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06tmj*","Trenten Bennett","NJD","G","G","144","FA","20","1,000,000","FA","0","2%","0%","0","0","0","0","0"
"*042y9*","Mikhail Berdin","(N/A)","G","G","145","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06yoe*","Stanislav Berezhnoy","CHI","G","G","146","FA","22","1,000,000","FA","0","2%","0%","0","0","0","0","0"
"*031q3*","Fredrik Bergvik","SJS","G","G","147","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*068y7*","Matthew Berlin","(N/A)","G","G","148","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04a9t*","Andreas Bernard","(N/A)","G","G","149","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*003sm*","Jonathan Bernier","(N/A)","G","G","150","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06nka*","Thatcher Bernstein","(N/A)","G","G","151","FA","19","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02yob*","Reto Berra","(N/A)","G","G","152","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*023ry*","J-F Berube","LAK","G","G","153","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06c43*","Patriks Berzins","(N/A)","G","G","154","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01mj9*","Tyler Beskorowany","UTA","G","G","155","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*031sq*","Antoine Bibeau","(N/A)","G","G","156","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06lon*","Marko Bilic","(N/A)","G","G","157","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02yep*","Brian Billett","(N/A)","G","G","158","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03kqh*","Julio Billia","(N/A)","G","G","159","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05ad5*","Timur Bilyalov","(N/A)","G","G","160","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0689x*","Ryan Bischel","BOS","G","G","161","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05xpi*","Alexander Bishop","(N/A)","G","G","162","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03n2k*","Michael Bitzer","(N/A)","G","G","163","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*066pa*","Carson Bjarnason","PHI","G","G","164","btsay45","20","0","MNR","0","9%","0%","0","0","0","0","0"
"*05o6t*","Garin Bjorklund","WSH","G","G","165","FA","23","1,000,000","FA","0","2%","0%","0","0","0","0","0"
"*06ajy*","Cooper Black","FLA","G","G","166","FA","24","1,000,000","FA","0","2%","0%","0","0","0","0","0"
"*06ruj*","Oskar Blomgren","(N/A)","G","G","167","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05yg1*","Ian Blomquist","(N/A)","G","G","168","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05k9b*","Joel Blomqvist","PIT","G","G","169","TommyG10","24","0","MNR","0","14%","0%","0","0","0","0","0"
"*01mzj*","Igor Bobkov","(N/A)","G","G","170","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03zag*","Ivan Bocharov","(N/A)","G","G","171","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04l2e*","Corbin Boes","(N/A)","G","G","172","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*07310*","Harrison Boettiger","(N/A)","G","G","173","FA","18","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06lv3*","Albin Boija","(N/A)","G","G","174","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03o2c*","Callum Booth","(N/A)","G","G","175","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*066c9*","Zachary Borgiel","(N/A)","G","G","176","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*072z2*","Dmitri Borichev","(N/A)","G","G","177","FA","17","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03ee6*","Keven Bouchard","(N/A)","G","G","178","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04r1k*","Zachary Bouthillier","TOR","G","G","179","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*004k4*","Jonathan Boutin","(N/A)","G","G","180","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03lzf*","Landon Bow","(N/A)","G","G","181","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05t9b*","Nikita Boyarkin","(N/A)","G","G","182","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05tdc*","Talyn Boyko","NYR","G","G","183","FA","23","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*03ycv*","Kevin Boyle","(N/A)","G","G","184","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*051uk*","Cole Brady","DAL","G","G","185","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03oal*","Eric Brassard","(N/A)","G","G","186","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02oau*","Francois Brassard","OTT","G","G","187","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04nb3*","Victor Brattstrom","DET","G","G","188","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05rf9*","Tyler Brennan","NJD","G","G","189","FA","22","1,000,000","FA","0","4%","0%","0","0","0","0","0"
"*02yen*","Bryan Bridges","(N/A)","G","G","190","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01zs9*","Sam Brittain","COL","G","G","191","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*043i8*","Adam Brizgala","(N/A)","G","G","192","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05nfs*","Brett Brochu","EDM","G","G","193","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02yjm*","Anthony Brodeur","NJD","G","G","194","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*048vz*","Jeremy Brodeur","NJD","G","G","195","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*004ov*","Dave Brown","(N/A)","G","G","196","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05yjb*","Felix Bruckmann","(N/A)","G","G","197","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*004n9*","Barry Brust","OTT","G","G","198","FA","42","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06kwq*","Vladislav Bryzgalov","(N/A)","G","G","199","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*07338*","Ryley Budd","(N/A)","G","G","200","FA","17","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04xct*","Evan Buitenhuis","NYI","G","G","201","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01zrx*","Tyler Bunz","(N/A)","G","G","202","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*031si*","Brendan Burke","(N/A)","G","G","203","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03nue*","Tommy Burke","(N/A)","G","G","204","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02zo6*","Dustin Butler","(N/A)","G","G","205","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03d11*","Philippe Cadorette","(N/A)","G","G","206","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05uxe*","Pavel Cajan","(N/A)","G","G","207","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06uwe*","Ryan Cameron","(N/A)","G","G","208","FA","18","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05n89*","Aidan Campbell","(N/A)","G","G","209","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01zrz*","Jack Campbell","DET","G","G","210","FA","34","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*01dcb*","Trevor Cann","(N/A)","G","G","211","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*025mf*","Joe Cannata","(N/A)","G","G","212","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02yc8*","Tony Capobianco","LAK","G","G","213","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03wm5*","Dustin Carlson","(N/A)","G","G","214","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06jhi*","Mathieu Caron","(N/A)","G","G","215","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03c7g*","Doug Carr","PIT","G","G","216","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*048lg*","Kevin Carr","(N/A)","G","G","217","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05y9k*","Gabriel Carriere","SJS","G","G","218","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
