"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","W","GAA","SV%","SHO"
"*0457i*","Ukko-Pekka Luukkonen","BUF","G","G","","29","mcianfra","27","1,200,000","BID","66.19","82%","-1%","35","22","2.52",".910","1"
"*02o7s*","Connor Hellebuyck","WPG","G","G","","30","ROO","33","13,300,000","BID","65.57","97%","0%","57","23","2.86",".895","0"
"*042w1*","Joseph Woll","PHI","G","G","","31","FA","28","1,000,000","FA","65.22","43%","-1%","39","15","3.34",".899","2"
"*051v4*","Arturs Silovs","PIT","G","G","","32","BHHC","25","1,500,000","ELC1","63.79","50%","-4%","39","19","3.07",".888","2"
"*01d6c*","Jacob Markstrom","FLA","G","G","","33","mcianfra","36","2,800,000","BID","62.71","94%","+1%","44","23","3.07",".883","1"
"*016kv*","Jake Allen","NJD","G","G","","34","PuckLuck","36","1,000,000","FA","61.43","62%","+1%","37","17","2.74",".904","1"
"*02yjw*","Tristan Jarry","EDM","G","G","","35","FA","31","1,000,000","FA","59.46","36%","-1%","33","18","3.32",".882","2"
"*04r01*","Akira Schmid","FLA","G","G","","36","FA","26","1,000,000","FA","58.93","39%","-3%","34","16","2.59",".893","2"
"*0529k*","Yaroslav Askarov","SJS","G","G","","37","M.M","24","1,500,000","ELC1","58.48","92%","-1%","47","21","3.63",".884","0"
"*03ygn*","David Rittich","NJD","G","G","","38","FA","34","1,000,000","FA","56.84","11%","-1%","30","14","2.76",".894","2"
"*02ycf*","Casey DeSmith","DAL","G","G","","39","FA","35","1,000,000","FA","56.84","24%","0%","30","15","2.43",".907","1"
"*039sy*","Alex Nedeljkovic","SJS","G","G","","40","FA","30","1,000,000","FA","55.49","27%","-1%","40","18","2.87",".896","0"
"*02npn*","Joonas Korpisalo","NYR","G","G","","41","FA","32","1,000,000","FA","53.45","12%","-2%","31","14","3.15",".894","1"
"*01zs7*","Philipp Grubauer","SEA","G","G","","42","FA","34","1,000,000","FA","52.91","21%","-1%","32","13","2.65",".909","0"
"*03ebi*","Elvis Merzlikins","CBJ","G","G","","43","FA","32","1,000,000","FA","51.26","15%","-2%","30","14","3.40",".883","1"
"*02fda*","Jordan Binnington","STL","G","G","","44","BULLIES","33","5,900,000","BID","50.99","42%","-2%","41","13","3.33",".873","1"
"*04qyd*","Justus Annunen","NSH","G","G","","45","FA","26","1,000,000","FA","50.82","19%","-2%","28","10","2.68",".907","1"
"*04an1*","Daniil Tarasov","DET","G","G","","46","FA","27","1,000,000","FA","50.41","18%","-2%","33","13","3.05",".895","0"
"*04zc8*","Devin Cooley","CGY","G","G","","47","FA","29","1,000,000","FA","49.3","23%","-3%","31","10","2.69",".909","0"
"*01zry*","Frederik Andersen","EDM","G","G","","48","FA","36","1,000,000","FA","47.15","53%","-2%","35","16","3.05",".874","0"
"*04ai3*","Kevin Lankinen","VAN","G","G","","49","FA","31","1,000,000","FA","47.07","32%","+2%","47","11","3.70",".875","0"
"*068yz*","Jacob Fowler","MTL","G","G","R","50","TommyG10","21","0","MNR","45.56","67%","-3%","17","9","2.43",".908","1"
"*060us*","Dennis Hildeby","TBL","G","G","","51","FA","25","1,000,000","FA","45.12","30%","-4%","20","5","2.86",".914","1"
"*05rbj*","Arvid Soderblom","CHI","G","G","","52","FA","27","1,000,000","FA","44.98","10%","-1%","26","8","3.80",".880","1"
"*01t68*","Cam Talbot","CBJ","G","G","","53","FA","39","1,000,000","FA","44.84","9%","0%","34","12","3.19",".883","0"
"*02ycp*","Eric Comrie","SJS","G","G","","54","FA","31","1,000,000","FA","44.53","7%","-1%","25","12","3.13",".890","0"
"*02np7*","Anthony Stolarz","TOR","G","G","","55","CGN","32","4,600,000","BID","44.31","35%","-3%","26","10","3.28",".893","0"
"*04r06*","Samuel Ersson","OTT","G","G","","56","FA","26","1,000,000","FA","44.12","16%","-2%","33","14","3.12",".870","0"
"*03as7*","Thatcher Demko","VAN","G","G","","57","FA","30","1,000,000","FA","43.73","38%","-4%","20","8","2.90",".897","1"
"*04mjq*","Colten Ellis","BUF","G","G","","58","FA","25","1,000,000","FA","43.42","19%","-2%","16","8","2.90",".903","1"
"*03xme*","Charlie Lindgren","WSH","G","G","","59","FA","32","1,000,000","FA","43.37","17%","-1%","21","9","3.52",".879","1"
"*03mkm*","Adin Hill","VGK","G","G","","60","BHHC","30","4,200,000","BID","42.7","35%","-3%","27","10","3.04",".871","1"
"*03eb6*","Jonas Johansson","TBL","G","G","","61","FA","31","1,000,000","FA","42.39","7%","-2%","25","11","3.29",".884","0"
"*03ar6*","Ville Husso","ANA","G","G","","62","FA","31","1,000,000","FA","39.62","11%","-1%","20","10","3.25",".884","0"
"*03ynu*","Carter Hart","VGK","G","G","","63","CGN","28","1,000,000","BID","39.58","88%","+1%","18","11","2.71",".891","0"
"*03rfp*","Sam Montembeault","MTL","G","G","","64","Wags8210","29","4,100,000","BID","39.31","19%","-2%","25","10","3.43",".872","0"
"*0055l*","James Reimer","(N/A)","G","G","","65","FA","38","1,000,000","FA","39.09","1%","0%","14","7","2.42",".886","1"
"*03eap*","Vitek Vanecek","NYI","G","G","","66","FA","30","1,000,000","FA","38.87","8%","-1%","22","5","2.93",".883","1"
"*04yi4*","Pyotr Kochetkov","CAR","G","G","","67","FA","27","1,000,000","FA","37.26","60%","-2%","9","6","2.33",".899","1"
"*06agl*","Nikita Tolopilo","VAN","G","G","","68","FA","26","1,000,000","FA","36.68","11%","-2%","21","6","3.61",".881","0"
"*05oxl*","Leevi Merilainen","VAN","G","G","","69","FA","24","1,000,000","FA","35.34","21%","-3%","20","8","3.51",".860","0"
"*051w5*","Trent Miner","COL","G","G","","70","FA","25","1,000,000","FA","34.01","13%","-2%","4","1","2.03",".933","1"
"*05k7t*","Drew Commesso","CHI","G","G","","71","nbracken","24","0","MNR","33.65","26%","-3%","3","2","2.31",".918","1"
"*01zs3*","Calvin Pickard","MIN","G","G","","72","FA","34","1,000,000","FA","33.61","7%","0%","16","5","3.68",".871","0"
"*061i2*","Sergei Murashov","PIT","G","G","R","73","BHHC","22","0","MNR","31.83","68%","-2%","5","1","2.56",".897","1"
"*05lud*","Dylan Garand","NYR","G","G","","74","TommyG10","24","0","MNR","31.51","18%","-2%","3","2","1.62",".948","0"
"*060fz*","Clay Stevenson","WSH","G","G","","75","FA","27","1,000,000","FA","30.53","9%","-1%","4","3","2.00",".921","0"
"*01zrw*","Petr Mrazek","(N/A)","G","G","","76","FA","34","1,000,000","FA","29.59","4%","-1%","10","3","4.07",".858","0"
"*05tpb*","Carl Lindbom","VGK","G","G","","77","FA","23","1,000,000","FA","29.01","18%","-3%","8","2","3.00",".873","0"
"*02nq8*","Matt Murray","(N/A)","G","G","","78","FA","32","1,000,000","FA","28.17","2%","0%","5","0","2.21",".922","0"
"*059mt*","Nicolas Daws","NJD","G","G","","79","FA","25","1,000,000","FA","28.08","28%","-2%","3","2","2.62",".908","0"
"*05ugg*","Arsenii Sergeev","CGY","G","G","","80","FA","23","1,000,000","FA","26.87","7%","-1%","1","1","1.00",".964","0"
"*031ok*","Spencer Martin","NYR","G","G","","81","FA","31","1,000,000","FA","26.25","2%","0%","6","1","4.13",".864","0"
"*05ws3*","Niklas Kokko","SEA","G","G","","82","CGN","22","0","MNR","25.94","22%","-3%","3","1","3.04",".890","0"
"*05no6*","Victor Ostman","SEA","G","G","","83","FA","25","1,000,000","FA","25.67","7%","-1%","1","0","2.10",".943","0"
"*04bih*","Cayden Primeau","CAR","G","G","","84","FA","27","1,000,000","FA","25.58","6%","-1%","3","2","4.30",".838","0"
"*05nik*","Artur Akhtyamov","TOR","G","G","","85","nbracken","24","0","MNR","24.73","25%","-4%","3","0","5.24",".877","0"
"*05u3g*","Thomas Milic","WPG","G","G","","86","FA","23","1,000,000","FA","24.42","12%","-2%","3","0","3.46",".871","0"
"*03bw6*","Pheonix Copley","CBJ","G","G","","87","FA","34","1,000,000","FA","24.11","3%","-1%","1","0","3.07",".893","0"
"*04zb5*","Mads Sogaard","TBL","G","G","","88","FA","25","1,000,000","FA","23.75","10%","-1%","2","1","4.65",".833","0"
"*05r8v*","Alexei Kolosov","PHI","G","G","","89","FA","24","1,000,000","FA","23.49","12%","-2%","4","0","4.00",".830","0"
"*03y7l*","Michael DiPietro","BOS","G","G","","90","FA","27","1,000,000","FA","23.17","23%","-2%","1","0",".00","1.000","0"
"*04f7o*","Jiri Patera","BOS","G","G","","91","FA","27","1,000,000","FA","22.55","6%","-1%","1","0","7.39",".825","0"
"*03eb4*","Brandon Halverson","DAL","G","G","","92","FA","30","1,000,000","FA","22.24","1%","0%","2","0","4.22",".810","0"
"*04obf*","Hunter Shepard","(N/A)","G","G","","93","FA","30","1,000,000","FA","21.92","1%","0%","1","0","3.35",".833","0"
"*02fnj*","Laurent Brossoit","ANA","G","G","","94","FA","33","1,000,000","FA","21.61","4%","0%","1","0","6.09",".783","0"
"*062q9*","Vyacheslav Buteyets","ANA","G","G","","95","FA","24","1,000,000","FA","21.3","3%","0%","1","0","9.00",".769","0"
"*031p1*","Marcus Hogberg","NYI","G","G","","96","FA","31","1,000,000","FA","20.99","1%","0%","1","0","8.90",".714","0"
"*05y9j*","Gavin Abric","(N/A)","G","G","","97","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05rah*","Olivier Adam","(N/A)","G","G","","98","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04ffu*","Adam Ahman","(N/A)","G","G","","99","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*076wv*","Juuso Ainasto","TOR","G","G","R","100","FA","18","1,000,000","FA","0","4%","0%","0","0","0","0","0"
"*01zs4*","Sami Aittokallio","(N/A)","G","G","","101","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05ufo*","Gage Alexander","DET","G","G","","102","FA","24","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*04ru3*","Jett Alexander","TOR","G","G","","103","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*051tp*","Hugo Alnefelt","TBL","G","G","","104","FA","25","1,000,000","FA","0","3%","0%","0","0","0","0","0"
"*03bds*","Oscar Alsenfelt","(N/A)","G","G","","105","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02npu*","Daniel Altshuller","(N/A)","G","G","","106","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*023p1*","Brandon Anderson","(N/A)","G","G","","107","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*023ov*","J.P. Anderson","SJS","G","G","","108","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05224*","Cedrick Andree","(N/A)","G","G","","109","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05uw0*","Viggo Andren","(N/A)","G","G","","110","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04ofx*","Viktor Andren","(N/A)","G","G","","111","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06qqd*","Pyotr Andreyanov","CBJ","G","G","","112","nbracken","19","0","MNR","0","26%","-3%","0","0","0","0","0"
"*05xmy*","Eetu Anttila","(N/A)","G","G","","113","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03kpg*","Ken Appleby","TOR","G","G","","114","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*060nz*","Maxim Arefyev","(N/A)","G","G","","115","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03nqj*","Jayson Argue","(N/A)","G","G","","116","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03miy*","Mantas Armalis","(N/A)","G","G","","117","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06r68*","Jonas Arntzen","(N/A)","G","G","","118","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*065h2*","Brad Arvantis","(N/A)","G","G","","119","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03wlc*","Keegan Asmundson","(N/A)","G","G","","120","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05xde*","Tom Aubrun","CHI","G","G","","121","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*068yu*","Trey Augustine","DET","G","G","","122","CGN","21","0","MNR","0","47%","-4%","0","0","0","0","0"
"*06q1d*","Jens Auke Hoekstra","(N/A)","G","G","","123","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05yji*","Danny aus den Birken","(N/A)","G","G","","1156","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05rag*","Tye Austin","(N/A)","G","G","","124","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06uvb*","Carl Axelsson","UTA","G","G","R","125","FA","19","1,000,000","FA","0","2%","0%","0","0","0","0","0"
"*01fuk*","Richard Bachman","(N/A)","G","G","","126","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06ptz*","Jake Barczewski","(N/A)","G","G","","127","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04fpz*","Dereck Baribeau","MIN","G","G","","128","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*065g5*","Brad Barone","(N/A)","G","G","","129","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02oz4*","Patrik Bartosak","(N/A)","G","G","","130","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05uef*","Owen Bartoszkiewicz","(N/A)","G","G","","131","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0243u*","Konstantin Barulin","(N/A)","G","G","","132","FA","42","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05o6l*","Roman Basran","(N/A)","G","G","","133","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*051ve*","Dominic Basse","CHI","G","G","","134","FA","25","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*0042c*","Rejean Beauchemin","(N/A)","G","G","","135","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*060xu*","Mason Beaupit","SJS","G","G","","136","FA","23","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*004sm*","Chris Beckford-Tseu","(N/A)","G","G","","137","FA","42","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06tan*","Lucas Beckman","OTT","G","G","","138","FA","19","1,000,000","FA","0","12%","-2%","0","0","0","0","0"
"*05ge3*","Jan Bednar","(N/A)","G","G","","139","FA","24","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*03rk1*","Ryan Bednard","LAK","G","G","","140","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*031v0*","Alexandre Belanger","MIN","G","G","","141","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02yeq*","Marek Benda","(N/A)","G","G","","142","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03sct*","Christoffer Bengtsberg","(N/A)","G","G","","143","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02j3y*","Brett Bennett","UTA","G","G","","144","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06tmj*","Trenten Bennett","NJD","G","G","","145","FA","20","1,000,000","FA","0","3%","0%","0","0","0","0","0"
"*042y9*","Mikhail Berdin","(N/A)","G","G","","146","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06yoe*","Stanislav Berezhnoy","CHI","G","G","","147","FA","23","1,000,000","FA","0","3%","0%","0","0","0","0","0"
"*031q3*","Fredrik Bergvik","SJS","G","G","","148","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*068y7*","Matthew Berlin","(N/A)","G","G","","149","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04a9t*","Andreas Bernard","(N/A)","G","G","","150","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*003sm*","Jonathan Bernier","(N/A)","G","G","","151","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06nka*","Thatcher Bernstein","(N/A)","G","G","","152","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02yob*","Reto Berra","(N/A)","G","G","","153","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*023ry*","J-F Berube","LAK","G","G","","154","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06c43*","Patriks Berzins","(N/A)","G","G","","155","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01mj9*","Tyler Beskorowany","UTA","G","G","","156","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*078cj*","Gavin Betts","(N/A)","G","G","","157","FA","18","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*031sq*","Antoine Bibeau","(N/A)","G","G","","158","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06lon*","Marko Bilic","(N/A)","G","G","","159","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02yep*","Brian Billett","(N/A)","G","G","","160","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03kqh*","Julio Billia","(N/A)","G","G","","161","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05ad5*","Timur Bilyalov","(N/A)","G","G","","162","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0689x*","Ryan Bischel","BOS","G","G","","163","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05xpi*","Alexander Bishop","(N/A)","G","G","","164","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03n2k*","Michael Bitzer","(N/A)","G","G","","165","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*066pa*","Carson Bjarnason","PHI","G","G","","166","btsay45","21","0","MNR","0","13%","-2%","0","0","0","0","0"
"*05o6t*","Garin Bjorklund","(N/A)","G","G","","167","FA","24","1,000,000","FA","0","2%","0%","0","0","0","0","0"
"*06ajy*","Cooper Black","FLA","G","G","","168","FA","25","1,000,000","FA","0","6%","-1%","0","0","0","0","0"
"*06ruj*","Oskar Blomgren","(N/A)","G","G","","169","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05yg1*","Ian Blomquist","(N/A)","G","G","","170","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05k9b*","Joel Blomqvist","PIT","G","G","","171","TommyG10","24","0","MNR","0","19%","-3%","0","0","0","0","0"
"*01mzj*","Igor Bobkov","(N/A)","G","G","","172","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03zag*","Ivan Bocharov","(N/A)","G","G","","173","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04l2e*","Corbin Boes","(N/A)","G","G","","174","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*07310*","Harrison Boettiger","WSH","G","G","","175","FA","18","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*06lv3*","Albin Boija","(N/A)","G","G","","176","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03o2c*","Callum Booth","(N/A)","G","G","","177","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*066c9*","Zachary Borgiel","(N/A)","G","G","","178","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*072z2*","Dmitri Borichev","NSH","G","G","R","179","FA","18","1,000,000","FA","0","16%","-2%","0","0","0","0","0"
"*03ee6*","Keven Bouchard","(N/A)","G","G","","180","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04r1k*","Zachary Bouthillier","TOR","G","G","","181","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*004k4*","Jonathan Boutin","(N/A)","G","G","","182","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03lzf*","Landon Bow","(N/A)","G","G","","183","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05t9b*","Nikita Boyarkin","(N/A)","G","G","","184","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05tdc*","Talyn Boyko","(N/A)","G","G","","185","FA","23","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*03ycv*","Kevin Boyle","(N/A)","G","G","","186","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*051uk*","Cole Brady","DAL","G","G","","187","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03oal*","Eric Brassard","(N/A)","G","G","","188","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02oau*","Francois Brassard","OTT","G","G","","189","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04nb3*","Victor Brattstrom","DET","G","G","","190","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05rf9*","Tyler Brennan","(N/A)","G","G","","191","FA","22","1,000,000","FA","0","4%","-1%","0","0","0","0","0"
"*02yen*","Bryan Bridges","(N/A)","G","G","","192","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01zs9*","Sam Brittain","COL","G","G","","193","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*043i8*","Adam Brizgala","(N/A)","G","G","","194","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05nfs*","Brett Brochu","EDM","G","G","","195","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02yjm*","Anthony Brodeur","NJD","G","G","","196","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*048vz*","Jeremy Brodeur","NJD","G","G","","197","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*004ov*","Dave Brown","(N/A)","G","G","","198","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05yjb*","Felix Bruckmann","(N/A)","G","G","","199","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*004n9*","Barry Brust","OTT","G","G","","200","FA","43","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06kwq*","Vladislav Bryzgalov","(N/A)","G","G","","201","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*07338*","Ryley Budd","(N/A)","G","G","","202","FA","18","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04xct*","Evan Buitenhuis","NYI","G","G","","203","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01zrx*","Tyler Bunz","(N/A)","G","G","","204","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*031si*","Brendan Burke","(N/A)","G","G","","205","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03nue*","Tommy Burke","(N/A)","G","G","","206","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02zo6*","Dustin Butler","(N/A)","G","G","","207","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03d11*","Philippe Cadorette","(N/A)","G","G","","208","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05uxe*","Pavel Cajan","(N/A)","G","G","","209","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06uwe*","Ryan Cameron","EDM","G","G","R","210","FA","19","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*05n89*","Aidan Campbell","(N/A)","G","G","","211","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01dcb*","Trevor Cann","(N/A)","G","G","","212","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*025mf*","Joe Cannata","(N/A)","G","G","","213","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02yc8*","Tony Capobianco","LAK","G","G","","214","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
